"ID","Personaje","Rareza","Tipos","Aprendizaje por nivel","Definitiva al nivel 35","Pasiva","PS / ATQ / DEF / EATQ / EDEF / VEL"
"pudding","Charlotte Pudding","3","Fruta / Haki","1: Técnica de Fruta | 10: Impacto de Haki | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"chiffon","Charlotte Chiffon","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"morgans","Morgans","2","Viento / Fruta","1: Ráfaga | 10: Dominio de Fruta | 20: Tornado","Tornado","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"pekoms","Pekoms","2","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"streusen","Streusen","2","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"kingbaum","King Baum","2","Tierra","1: Rocazo | 10: Impacto sísmico | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"zeus2","Zeus","2","Rayo","1: Descarga | 10: Pulso eléctrico | 20: Tormenta eléctrica","Tormenta eléctrica","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"prometheus","Prometheus","2","Fuego","1: Llamarada | 10: Ráfaga ígnea | 20: Explosión de fuego","Explosión de fuego","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"napoleon","Napoleon","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"hera","Hera","2","Rayo","1: Descarga | 10: Pulso eléctrico | 20: Tormenta eléctrica","Tormenta eléctrica","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"tamago","Tamago","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"bobbin","Bobbin","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"judge","Vinsmoke Judge","4","Disparo / Corte","1: Disparo | 10: Corte doble | 20: Artillería","Artillería","Sin pasiva individual","29 / 15 / 11 / 13 / 10 / 12"
"ichiji","Vinsmoke Ichiji","3","Golpe / Fuego","1: Golpe básico | 10: Ráfaga ígnea | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"niji","Vinsmoke Niji","3","Golpe / Rayo","1: Golpe básico | 10: Pulso eléctrico | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"yonji","Vinsmoke Yonji","3","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"cracker","Charlotte Cracker","4","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","28 / 14 / 11 / 12 / 10 / 12"
"brulee","Charlotte Brûlée","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"perospero","Charlotte Perospero","3","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"daifuku","Charlotte Daifuku","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"oven","Charlotte Oven","3","Fuego / Fruta","1: Llamarada | 10: Dominio de Fruta | 20: Explosión de fuego","Explosión de fuego","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"opera","Charlotte Opera","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"smoothie","Charlotte Smoothie","4","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","29 / 15 / 11 / 13 / 10 / 12"
"montdor","Charlotte Mont-d'Or","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"amande","Charlotte Amande","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"galette","Charlotte Galette","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"snack","Charlotte Snack","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"flampe","Charlotte Flampe","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"moscato","Charlotte Moscato","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"bavarois","Charlotte Bavarois","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"anana","Charlotte Anana","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"kinemon","Kin'emon","3","Corte / Fuego","1: Corte básico | 10: Ráfaga ígnea | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"momonosuke","Momonosuke","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"hiyori","Kozuki Hiyori","2","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"toki","Kozuki Toki","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"sukiyaki","Kozuki Sukiyaki","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"denjiro","Denjiro","4","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","28 / 14 / 11 / 12 / 10 / 12"
"kiku","Kikunojo","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"raizo","Raizo","3","Corte / Viento","1: Corte básico | 10: Vendaval | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"ashuradoji","Ashura Doji","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"kawamatsu","Kawamatsu","3","Corte / Agua","1: Corte básico | 10: Onda marina | 20: Corte certero","Corte certero","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"shinobu","Shinobu","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"hyogoro","Hyogoro","3","Golpe / Haki","1: Golpe básico | 10: Impacto de Haki | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"yasuie","Shimotsuki Yasuie","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"ushimaru","Shimotsuki Ushimaru","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"tama","Tama","1","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","16 / 7 / 7 / 9 / 8 / 8"
"toko","Toko","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"otsuru2","O-Tsuru","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"hitetsu","Tenguyama Hitetsu","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"inuarashi","Inuarashi","4","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","27 / 14 / 11 / 12 / 10 / 11"
"nekomamushi","Nekomamushi","4","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","29 / 15 / 11 / 13 / 10 / 12"
"carrot","Carrot","3","Golpe / Rayo","1: Golpe básico | 10: Pulso eléctrico | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"pedro","Pedro","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"wanda","Wanda","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"shishilian","Shishilian","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"killer","Killer","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"drake","X Drake","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"zunesha","Zunesha","4","Tierra / Haki","1: Rocazo | 10: Impacto de Haki | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","28 / 13 / 11 / 15 / 12 / 12"
"hawkins","Basil Hawkins","3","Oscuridad / Fruta","1: Golpe bajo | 10: Dominio de Fruta | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"apoo","Scratchmen Apoo","3","Rayo / Fruta","1: Descarga | 10: Dominio de Fruta | 20: Tormenta eléctrica","Tormenta eléctrica","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"holdem","Holdem","2","Fuego","1: Llamarada | 10: Ráfaga ígnea | 20: Explosión de fuego","Explosión de fuego","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"speed","Speed","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"babanuki","Babanuki","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"dobon","Dobon","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"daifugo","Daifugo","2","Veneno","1: Púa venenosa | 10: Gas tóxico | 20: Nube venenosa","Nube venenosa","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"batman","Batman","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"gazelleman","Gazelleman","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"baohuang","Bao Huang","1","Oscuridad","1: Golpe bajo | 10: Presión sombría | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","17 / 8 / 7 / 10 / 8 / 8"
"fukurokuju","Fukurokuju","3","Oscuridad","1: Golpe bajo | 10: Presión sombría | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"kanjuro","Kanjuro","3","Fruta / Oscuridad","1: Técnica de Fruta | 10: Presión sombría | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"orochi","Kurozumi Orochi","3","Fruta / Oscuridad","1: Técnica de Fruta | 10: Presión sombría | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"jack","Jack","4","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","28 / 14 / 11 / 12 / 10 / 12"
"ulti","Ulti","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"pageone","Page One","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"whoswho","Who's-Who","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"sasaki","Sasaki","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"blackmaria","Black Maria","3","Fuego / Fruta","1: Llamarada | 10: Dominio de Fruta | 20: Explosión de fuego","Explosión de fuego","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"fugan","Fugan","2","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"jaki","Jaki","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"goki","Goki","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"shaka","Shaka","3","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"lilith","Lilith","3","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"edison","Edison","2","Rayo","1: Descarga | 10: Pulso eléctrico | 20: Tormenta eléctrica","Tormenta eléctrica","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"pythagoras","Pythagoras","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"atlas","Atlas","3","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"stussy","Stussy","3","Oscuridad","1: Golpe bajo | 10: Presión sombría | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"karasu","Karasu","3","Oscuridad / Viento","1: Golpe bajo | 10: Vendaval | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"betty","Belo Betty","3","Haki / Fruta","1: Armadura | 10: Dominio de Fruta | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"morley","Morley","3","Tierra / Fruta","1: Rocazo | 10: Dominio de Fruta | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"lindbergh","Lindbergh","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"rayleigh","Silvers Rayleigh","5","Haki / Corte","1: Armadura | 10: Corte doble | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","35 / 16 / 13 / 18 / 14 / 13"
"gaban","Scopper Gaban","4","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","29 / 15 / 11 / 13 / 10 / 12"
"crocus","Crocus","3","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"benn","Benn Beckman","4","Disparo / Haki","1: Disparo | 10: Impacto de Haki | 20: Artillería","Artillería","Sin pasiva individual","28 / 14 / 11 / 12 / 10 / 12"
"luckyroux","Lucky Roux","3","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"yasopp","Yasopp","3","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"rockstar","Rockstar","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"rocinante","Donquixote Rocinante","3","Oscuridad / Fruta","1: Golpe bajo | 10: Dominio de Fruta | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"homing","Donquixote Homing","1","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","15 / 7 / 7 / 9 / 8 / 7"
"mjosgard","Donquixote Mjosgard","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"weevil","Edward Weevil","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"bakkin","Miss Bakkin","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"york","York","3","Veneno","1: Púa venenosa | 10: Gas tóxico | 20: Nube venenosa","Nube venenosa","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"ssnake","S-Snake","3","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"shawk","S-Hawk","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"sshark","S-Shark","3","Agua / Golpe","1: Chorro de agua | 10: Golpe frontal | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"sbear","S-Bear","3","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"sflamingo","S-Flamingo","3","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"sgecko","S-Gecko","3","Oscuridad","1: Golpe bajo | 10: Presión sombría | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"scroc","S-Crocodile","3","Tierra","1: Rocazo | 10: Impacto sísmico | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"ryokugyu","Aramaki (Ryokugyu)","5","Tierra / Fruta","1: Rocazo | 10: Dominio de Fruta | 20: Ruptura terrestre","Ruptura terrestre","Cura al aliado activo un 5% de PS por ronda; el Clímax reduce la curación.","35 / 16 / 13 / 18 / 14 / 13"
"charlos","Charlos","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"rosward","Rosward","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"shalria","Shalria","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"garling","Figarland Garling","5","Corte / Haki","1: Corte básico | 10: Impacto de Haki | 20: Corte certero","Corte certero","+20% de daño físico.","34 / 16 / 13 / 14 / 12 / 13"
"saturn","Jaygarcia Saturn","5","Oscuridad / Fruta","1: Golpe bajo | 10: Dominio de Fruta | 20: Asalto sombrío","Asalto sombrío","Recupera un 5% de sus PS por ronda; el Clímax reduce la curación.","33 / 15 / 13 / 17 / 14 / 12"
"mars","Marcus Mars","5","Viento / Fruta","1: Ráfaga | 10: Dominio de Fruta | 20: Tornado","Tornado","+20% de velocidad.","34 / 15 / 13 / 17 / 14 / 13"
"warcury","Topman Warcury","5","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","+25% de defensa física y especial.","34 / 16 / 13 / 14 / 12 / 13"
"nusjuro","Ethanbaron V. Nusjuro","5","Corte / Hielo","1: Corte básico | 10: Ráfaga helada | 20: Corte certero","Corte certero","+20% de daño de Corte e Hielo.","34 / 16 / 13 / 14 / 12 / 13"
"jupeter","Shepherd Ju Peter","5","Tierra / Fruta","1: Rocazo | 10: Dominio de Fruta | 20: Ruptura terrestre","Ruptura terrestre","+20% de defensa física y especial.","34 / 15 / 13 / 17 / 14 / 13"
"im","Im","5","Oscuridad / Haki","1: Golpe bajo | 10: Impacto de Haki | 20: Asalto sombrío","Asalto sombrío","+25% de daño de Oscuridad y Haki. Interpretación para el juego.","35 / 16 / 13 / 18 / 14 / 13"
"xebec","Rocks D. Xebec","5","Oscuridad / Haki","1: Golpe bajo | 10: Impacto de Haki | 20: Asalto sombrío","Asalto sombrío","+25% de ataque.","35 / 16 / 13 / 18 / 14 / 13"
"shiki","Shiki","4","Viento / Fruta","1: Ráfaga | 10: Dominio de Fruta | 20: Tornado","Tornado","Sin pasiva individual","29 / 14 / 11 / 16 / 12 / 12"
"john","Captain John","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"sengoku2","Kong","4","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","29 / 15 / 11 / 13 / 10 / 12"
"joyboy","Joy Boy","5","Golpe / Haki","1: Golpe básico | 10: Impacto de Haki | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","33 / 16 / 13 / 14 / 12 / 12"
"lili","Nefertari D. Lili","3","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"emeth","Emeth","4","Golpe / Tierra","1: Golpe básico | 10: Impacto sísmico | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","29 / 15 / 11 / 13 / 10 / 12"
"naruto","Naruto Uzumaki","4","Viento / Haki","1: Ráfaga | 10: Impacto de Haki | 20: Tornado","Rasengan Shuriken","+15% de daño de Viento y de velocidad.","27 / 13 / 11 / 15 / 12 / 11"
"sasuke","Sasuke Uchiha","4","Rayo / Fuego","1: Descarga | 10: Ráfaga ígnea | 20: Tormenta eléctrica","Kirin","+15 puntos de crítico y +15% de daño de Rayo.","27 / 13 / 11 / 15 / 12 / 11"
"kakashi","Kakashi Hatake","4","Rayo / Corte","1: Descarga | 10: Corte doble | 20: Tormenta eléctrica","Raikiri","+15 puntos de evasión y +15% de velocidad.","28 / 13 / 11 / 15 / 12 / 12"
"madara","Madara Uchiha","5","Fuego / Oscuridad","1: Llamarada | 10: Presión sombría | 20: Explosión de fuego","Tengai Shinsei","+25% de defensa física y especial.","33 / 15 / 13 / 17 / 14 / 12"
"orochimaru","Orochimaru","4","Veneno / Oscuridad","1: Púa venenosa | 10: Presión sombría | 20: Nube venenosa","Técnica de la Serpiente de 8 Cabezas","Recupera un 5% de sus PS por ronda; el Clímax reduce la curación.","28 / 13 / 11 / 15 / 12 / 12"
"itadori","Yuji Itadori","4","Golpe / Oscuridad","1: Golpe básico | 10: Presión sombría | 20: Impacto contundente","Kokusen (Destello Negro)","+15% de daño físico.","28 / 14 / 11 / 12 / 10 / 12"
"yuta","Yuta Okkotsu","4","Corte / Haki","1: Corte básico | 10: Impacto de Haki | 20: Corte certero","Amor Puro (Rika)","+15% de daño especial.","28 / 14 / 11 / 12 / 10 / 12"
"gojo","Satoru Gojo","4","Oscuridad / Haki","1: Golpe bajo | 10: Impacto de Haki | 20: Asalto sombrío","Vacío Inconmensurable","Esquiva el primer ataque del combate.","28 / 13 / 11 / 15 / 12 / 12"
"sukuna","Ryomen Sukuna","5","Corte / Oscuridad","1: Corte básico | 10: Presión sombría | 20: Corte certero","Expansión de Dominio: Santuario Malévolo","+20% de daño de Corte.","33 / 16 / 13 / 14 / 12 / 12"
"tanjiro","Tanjiro Kamado","4","Agua / Fuego","1: Chorro de agua | 10: Ráfaga ígnea | 20: Torpedo acuático","Danza del Dios del Fuego","+15% de daño de Fuego y Agua.","28 / 13 / 11 / 15 / 12 / 12"
"zenitsu","Zenitsu Agatsuma","4","Rayo / Corte","1: Descarga | 10: Corte doble | 20: Tormenta eléctrica","Respiración del Rayo: 7ª Postura","+30% de velocidad y +15 puntos de crítico.","28 / 13 / 11 / 15 / 12 / 12"
"inosuke","Inosuke Hashibira","4","Corte / Golpe","1: Corte básico | 10: Golpe frontal | 20: Corte certero","Colmillo Desgarrador","+15% de daño físico.","28 / 14 / 11 / 12 / 10 / 12"
"nezuko","Nezuko Kamado","4","Fuego / Oscuridad","1: Llamarada | 10: Presión sombría | 20: Explosión de fuego","Explosión de Sangre","+15% de daño de Fuego y -10% de daño recibido.","27 / 13 / 11 / 15 / 12 / 11"
"kibutsuji","Muzan Kibutsuji","5","Oscuridad / Veneno","1: Golpe bajo | 10: Gas tóxico | 20: Asalto sombrío","Látigos de Sangre Demoniaca","Cura al aliado activo un 5% de PS por ronda; el Clímax reduce la curación.","33 / 15 / 13 / 17 / 14 / 12"
"goku","Goku","4","Golpe / Haki","1: Golpe básico | 10: Impacto de Haki | 20: Impacto contundente","Kamehameha x10","+20% de ataque con menos del 70% de PS.","28 / 14 / 11 / 12 / 10 / 12"
"vegeta","Vegeta","4","Golpe / Rayo","1: Golpe básico | 10: Pulso eléctrico | 20: Impacto contundente","Final Flash","+15% de ataque y +10 puntos de crítico.","27 / 14 / 11 / 12 / 10 / 11"
"gohan","Gohan","4","Golpe / Rayo","1: Golpe básico | 10: Pulso eléctrico | 20: Impacto contundente","Kamehameha Padre e Hijo","+20% de ataque tras recibir un golpe en combate.","29 / 15 / 11 / 13 / 10 / 12"
